id_execucao,sha_commit,mensagem_commit,status,duracao_workflow,lead_time,nome_job,duracao_job,nome_etapa,duracao_etapa,total_testes,falhas_testes,tempo_medio_testes,timestamp
27103610115,5c414630,"fix: corrigir as duas falhas intencionais, pipeline  estabilizado",failure,27.0,27.0,Executar Testes Automatizados,14.0,Instalar dependências de desenvolvimento,3.0,26,1,0.1538,2026-06-07T20:16:00Z
27103610115,5c414630,"fix: corrigir as duas falhas intencionais, pipeline  estabilizado",failure,27.0,27.0,Executar Testes Automatizados,14.0,Executar testes com pytest,4.0,26,1,0.1538,2026-06-07T20:16:00Z
27103610115,5c414630,"fix: corrigir as duas falhas intencionais, pipeline  estabilizado",failure,27.0,27.0,Executar Testes Automatizados,14.0,Processar resultados dos testes,0.0,26,1,0.1538,2026-06-07T20:16:00Z
27103610115,5c414630,"fix: corrigir as duas falhas intencionais, pipeline  estabilizado",failure,27.0,27.0,Executar Testes Automatizados,14.0,Publicar artefatos dos testes,1.0,26,1,0.1538,2026-06-07T20:16:00Z
27103610115,5c414630,"fix: corrigir as duas falhas intencionais, pipeline  estabilizado",failure,27.0,27.0,Executar Testes Automatizados,14.0,Post Configurar Python 3.11,0.0,26,1,0.1538,2026-06-07T20:16:00Z
27103610115,5c414630,"fix: corrigir as duas falhas intencionais, pipeline  estabilizado",failure,27.0,27.0,Executar Testes Automatizados,14.0,Post Baixar código-fonte,0.0,26,1,0.1538,2026-06-07T20:16:00Z
27103610115,5c414630,"fix: corrigir as duas falhas intencionais, pipeline  estabilizado",failure,27.0,27.0,Executar Testes Automatizados,14.0,Complete job,0.0,26,1,0.1538,2026-06-07T20:16:00Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Análise Estática (Lint),9.0,Set up job,1.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Análise Estática (Lint),9.0,Baixar código-fonte,0.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Análise Estática (Lint),9.0,Configurar Python 3.11,3.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Análise Estática (Lint),9.0,Instalar flake8,1.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Análise Estática (Lint),9.0,Executar análise estática,1.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Análise Estática (Lint),9.0,Post Configurar Python 3.11,0.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Análise Estática (Lint),9.0,Post Baixar código-fonte,0.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Análise Estática (Lint),9.0,Complete job,0.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Executar Testes Automatizados,11.0,Set up job,0.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Executar Testes Automatizados,11.0,Baixar código-fonte,1.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Executar Testes Automatizados,11.0,Configurar Python 3.11,1.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Executar Testes Automatizados,11.0,Instalar dependências de desenvolvimento,2.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Executar Testes Automatizados,11.0,Executar testes com pytest,4.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Executar Testes Automatizados,11.0,Processar resultados dos testes,0.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Executar Testes Automatizados,11.0,Publicar artefatos dos testes,0.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Executar Testes Automatizados,11.0,Post Configurar Python 3.11,0.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Executar Testes Automatizados,11.0,Post Baixar código-fonte,0.0,26,3,0.1538,2026-06-07T20:14:31Z
27103573958,5eca4ad5,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,29.0,29.0,Executar Testes Automatizados,11.0,Complete job,0.0,26,3,0.1538,2026-06-07T20:14:31Z
27103542292,3f005282,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,13.0,13.0,Análise Estática (Lint),9.0,Set up job,1.0,0,0,0.0,2026-06-07T20:13:10Z
27103542292,3f005282,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,13.0,13.0,Análise Estática (Lint),9.0,Baixar código-fonte,0.0,0,0,0.0,2026-06-07T20:13:10Z
27103542292,3f005282,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,13.0,13.0,Análise Estática (Lint),9.0,Configurar Python 3.11,3.0,0,0,0.0,2026-06-07T20:13:10Z
27103542292,3f005282,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,13.0,13.0,Análise Estática (Lint),9.0,Instalar flake8,2.0,0,0,0.0,2026-06-07T20:13:10Z
27103542292,3f005282,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,13.0,13.0,Análise Estática (Lint),9.0,Executar análise estática,0.0,0,0,0.0,2026-06-07T20:13:10Z
27103542292,3f005282,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,13.0,13.0,Análise Estática (Lint),9.0,Post Configurar Python 3.11,0.0,0,0,0.0,2026-06-07T20:13:10Z
27103542292,3f005282,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,13.0,13.0,Análise Estática (Lint),9.0,Post Baixar código-fonte,1.0,0,0,0.0,2026-06-07T20:13:10Z
27103542292,3f005282,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,13.0,13.0,Análise Estática (Lint),9.0,Complete job,0.0,0,0,0.0,2026-06-07T20:13:10Z
27103542292,3f005282,test: introduzir duas falhas intencionais para analise de multiplos erros,failure,13.0,13.0,Executar Testes Automatizados,0.0,,,0,0,0.0,2026-06-07T20:13:10Z
